,Year,DE: Temp Res,DE: % Temp,DE: Perm Res,DE: % Perm,DE: Prot,DE: % Prot,DE: Pop,US: Temp Res,US: % Temp,US: Perm Res,US: % Perm,US: Prot,US: % Prot,US: Pop
0,2000,1558441,1.8945413504622077,1551839,1.8865155336390165,0,No Data,82259540,,,,,,,
1,2001,1537565,1.8650645766017204,1605292,1.9472173497069256,0,No Data,82440309,,,,,,,
2,2002,1526951,1.8500271636804388,1663128,2.0150168385740743,0,No Data,82536680,,,,,,,
3,2003,1520939,1.8428549689730627,1722872,2.0875283138275487,0,No Data,82531671,,,,,,,
4,2004,1294545,1.5691293067784065,1575725,1.9099500418474482,0,No Data,82500849,,,,,,,
5,2005,835099,1.0130025602878867,1412715,1.7136697708380704,0,No Data,82437995,,,,,,,
6,2006,481150,0.5845235369642529,1216841,1.4782753927945929,0,No Data,82314906,,,,,,,
7,2007,309625,0.3765910309705666,1014744,1.2342139334071753,50080.0,0.06091135674123852,82217837,,,,,,,
8,2008,230211,0.28073705589629644,861645,1.0507563953406411,40480.0,0.04936443533402869,82002356,5849085.0,1.9234465836129084,1107126,0.3640736495245026,60191,0.01979355289147697,304093966.0
9,2009,171027,0.2090736934067724,730733,0.8932919784841633,35805.0,0.04377018594975931,81802257,5111091.0,1.6660904017595453,1130818,0.3686189535535418,74654,0.02433537435607331,306771529.0
10,2010,131175,0.16045557125596147,640424,0.7833779208387867,33405.0,0.04086158458399384,81751602,8449455.0,2.73670513741967,1042625,0.33769718803191257,73311,0.02374479659686612,308745538
11,2011,94180,0.11724444433378689,502961,0.6261348796619854,30375.0,0.037813760847725385,80327900,10157325.0,3.2599411729267906,1062040,0.34085627104529675,56424,0.018108992351945147,311580009
12,2012,63554,0.07892578668657566,356770,0.44306185159344175,30645.0,0.03805709684693507,80523746,9131328.0,2.9092316209291202,1031631,0.32867656559163455,58238,0.018554566339054966,313874218
13,2013,46390,0.0574364951886628,249552,0.3089759053097904,35525.0,0.04398429600295852,80767463,8990229.0,2.8444895447849627,990553,0.3134088855862714,69926,0.022124439311683085,316057727
14,2014,37647,0.04636470685065238,178640,0.22000667335512897,54140.0,0.06667689932516056,81197537,10167418.0,3.1934207395107466,1016518,0.3192717820085675,69987,0.021981779178955625,318386421
15,2015,32711,0.039806179161222435,135518,0.16491253057291252,128735.0,0.15665826401883068,82175684,11167629.0,3.481803308411039,1051031,0.3276866748566381,69933,0.02180345987202021,320742673
16,2016,30535,0.03700240953728835,120120,0.1455617957628648,366300.0,0.44388349806807675,82521653,11771727.0,3.6436927296386443,1183505,0.36632930444198913,84995,0.026308430662351973,323071342
17,2017,29165,0.03522668416554568,110735,0.1337502784526556,518785.0,0.6266098180978096,82792351,11907828.0,3.6622892318336104,1127167,0.34666368766648253,53716,0.016520521490331754,325147121
