,Countries,Total,Code,Text
0,Egypt,29600,EGY,Egypt: 29600
1,Equatorial Guinea,135,GNQ,Equatorial Guinea: 135
2,Ethiopia,19075,ETH,Ethiopia: 19075
3,"Afghanistan, Republic of",251640,AFG,"Afghanistan, Republic of: 251640"
4,Albania,48705,ALB,Albania: 48705
5,Algeria,19845,DZA,Algeria: 19845
6,Andorra,55,AND,Andorra: 55
7,Angola,5350,AGO,Angola: 5350
8,Antigua and Barbuda,25,ATG,Antigua and Barbuda: 25
9,Argentina,5305,ARG,Argentina: 5305
10,Armenia,26830,ARM,Armenia: 26830
11,Azerbaijan,25325,AZE,Azerbaijan: 25325
12,Australia,13525,AUS,Australia: 13525
13,Bahamas,55,BHS,Bahamas: 55
14,Bahrain,480,BHR,Bahrain: 480
15,Bangladesh,13535,BGD,Bangladesh: 13535
16,Barbados,155,BRB,Barbados: 155
17,Belgium,29825,BEL,Belgium: 29825
18,Belize,50,BLZ,Belize: 50
19,Benin,2930,BEN,Benin: 2930
20,Bhutan,150,BTN,Bhutan: 150
21,"Bolivia, Plurinational State",1885,BOL,"Bolivia, Plurinational State: 1885"
22,Bosnia and Herzegovina,180950,BIH,Bosnia and Herzegovina: 180950
23,Botswana,140,BWA,Botswana: 140
24,Brazil,42580,BRA,Brazil: 42580
26,Brunei Darussalam,30,BRN,Brunei Darussalam: 30
27,Bulgaria,310415,BGR,Bulgaria: 310415
28,Burkina Faso,2115,BFA,Burkina Faso: 2115
29,Burundi,400,BDI,Burundi: 400
30,Cabo Verde,315,CPV,Cabo Verde: 315
31,Chile,7950,CHL,Chile: 7950
32,China,136460,CHN,China: 136460
33,Costa Rica,1360,CRI,Costa Rica: 1360
34,Cote d'Ivoire,6300,CIV,Cote d'Ivoire: 6300
35,Denmark,24910,DNK,Denmark: 24910
36,Dominica,200,DMA,Dominica: 200
37,Dominican Republic,6440,DOM,Dominican Republic: 6440
38,Djibouti,135,DJI,Djibouti: 135
39,Ecuador,5320,ECU,Ecuador: 5320
40,El Salvador,1085,SLV,El Salvador: 1085
41,Eritrea,66665,ERI,Eritrea: 66665
42,Estonia,7255,EST,Estonia: 7255
43,Fiji,415,FJI,Fiji: 415
44,Finland,17465,FIN,Finland: 17465
45,France,149025,FRA,France: 149025
46,Gabon,475,GAB,Gabon: 475
47,Gambia,16455,GMB,Gambia: 16455
48,Georgia,24685,GEO,Georgia: 24685
49,Ghana,33900,GHA,Ghana: 33900
50,Grenada,70,GRD,Grenada: 70
51,Greece,362245,GRC,Greece: 362245
52,Guatemala,875,GTM,Guatemala: 875
53,Guinea,14375,GIN,Guinea: 14375
54,Guinea-Bissau,1435,GNB,Guinea-Bissau: 1435
55,Guyana,70,GUY,Guyana: 70
56,Haiti,625,HTI,Haiti: 625
57,Honduras,1020,HND,Honduras: 1020
58,Hong Kong,435,HKG,Hong Kong: 435
59,India,108965,IND,India: 108965
60,Indonesia,18610,IDN,Indonesia: 18610
61,Iraq,237365,IRQ,Iraq: 237365
62,"Iran, Islamic Republic of",102760,IRN,"Iran, Islamic Republic of: 102760"
63,Ireland,17560,IRL,Ireland: 17560
64,Iceland,1520,ISL,Iceland: 1520
65,Israel,13795,ISR,Israel: 13795
66,Italy,643065,ITA,Italy: 643065
67,Jamaica,1385,JAM,Jamaica: 1385
68,Japan,36600,JPN,Japan: 36600
69,Yemen,5540,YEM,Yemen: 5540
70,Jordan,11520,JOR,Jordan: 11520
73,Cambodia,980,KHM,Cambodia: 980
74,Cameroon,22320,CMR,Cameroon: 22320
75,Canada,17505,CAN,Canada: 17505
76,Kazakhstan,46650,KAZ,Kazakhstan: 46650
77,Qatar,1060,QAT,Qatar: 1060
78,Kenya,11515,KEN,Kenya: 11515
79,Kyrgyzstan,8575,KGZ,Kyrgyzstan: 8575
80,Kiribati,35,KIR,Kiribati: 35
81,Colombia,16060,COL,Colombia: 16060
82,Comoros,70,COM,Comoros: 70
83,"Congo, The Democratic Republic of the",8975,COD,"Congo, The Democratic Republic of the: 8975"
84,"Congo, Republic of the",1750,COG,"Congo, Republic of the: 1750"
85,"Korea, Democratic People's Republic",950,PRK,"Korea, Democratic People's Republic: 950"
86,"Korea, Republic of",34420,KOR,"Korea, Republic of: 34420"
87,Kosovo,208505,XKX,Kosovo: 208505
88,Croatia,367900,HRV,Croatia: 367900
89,Cuba,8400,CUB,Cuba: 8400
90,Kuwait,3310,KWT,Kuwait: 3310
91,Lao People's Democratic Republic,805,LAO,Lao People's Democratic Republic: 805
92,Lesotho,45,LSO,Lesotho: 45
93,Latvia,38290,LVA,Latvia: 38290
94,Lebanon,41375,LBN,Lebanon: 41375
95,Liberia,1150,LBR,Liberia: 1150
96,Libya,14805,LBY,Libya: 14805
97,Liechtenstein,250,LIE,Liechtenstein: 250
98,Lithuania,53155,LTU,Lithuania: 53155
99,Luxembourg,19440,LUX,Luxembourg: 19440
100,Macau,15,MAC,Macau: 15
101,Madagascar,2155,MDG,Madagascar: 2155
102,Malawi,210,MWI,Malawi: 210
103,Malaysia,5500,MYS,Malaysia: 5500
104,Maldives,80,MDV,Maldives: 80
105,Mali,3140,MLI,Mali: 3140
106,Malta,710,MLT,Malta: 710
107,Morocco,75620,MAR,Morocco: 75620
108,0,0,0,0: 0
109,Mauritania,740,MRT,Mauritania: 740
110,Mauritius,1260,MUS,Mauritius: 1260
111,"Macedonia, the former Yugoslav Republic of",99435,MKD,"Macedonia, the former Yugoslav Republic of: 99435"
112,Mexico,15815,MEX,Mexico: 15815
113,0,0,0,0: 0
114,"Moldova, Republic of",17245,MDA,"Moldova, Republic of: 17245"
115,Monaco,15,MCO,Monaco: 15
