,Countries,Code,Nonimmigrants,Immigrants,Total,Text
0,Afghanistan,AFG,3581,19538,23119.0,Afghanistan: 23119.0
1,Albania,ALB,17056,5722,22778.0,Albania: 22778.0
2,Algeria,DZA,15242,2139,17381.0,Algeria: 17381.0
3,Andorra,AND,1720,0,1720.0,Andorra: 1720.0
4,Angola,AGO,9603,209,9812.0,Angola: 9812.0
5,Antigua and Barbuda,ATG,15893,322,16215.0,Antigua and Barbuda: 16215.0
6,Argentina,ARG,1129997,3482,1133479.0,Argentina: 1133479.0
7,Armenia,ARM,13774,3437,17211.0,Armenia: 17211.0
8,Australia,AUS,1576901,2906,1579807.0,Australia: 1579807.0
9,Austria,AUT,237611,387,237998.0,Austria: 237998.0
10,Azerbaijan,AZE,9104,881,9985.0,Azerbaijan: 9985.0
11,Bahamas,BHS,304752,725,305477.0,Bahamas: 305477.0
12,Bahrain,BHR,8767,130,8897.0,Bahrain: 8897.0
13,Bangladesh,BGD,40120,14693,54813.0,Bangladesh: 54813.0
14,Barbados,BRB,69318,373,69691.0,Barbados: 69691.0
15,Belarus,BLR,22589,1919,24508.0,Belarus: 24508.0
16,Belgium,BEL,325897,625,326522.0,Belgium: 326522.0
17,Belize,BLZ,31340,746,32086.0,Belize: 32086.0
18,Benin,BEN,3330,648,3978.0,Benin: 3978.0
19,Bhutan,BTN,1156,2940,4096.0,Bhutan: 4096.0
20,Bolivia,BOL,76933,1510,78443.0,Bolivia: 78443.0
21,Bosnia and Herzegovina,BIH,11020,846,11866.0,Bosnia and Herzegovina: 11866.0
22,Botswana,BWA,3105,112,3217.0,Botswana: 3217.0
23,Brazil,BRA,2147412,14989,2162401.0,Brazil: 2162401.0
24,Brunei,BRN,1479,24,1503.0,Brunei: 1503.0
25,Bulgaria,BGR,43815,2184,45999.0,Bulgaria: 45999.0
26,Burkina Faso,BFA,6002,541,6543.0,Burkina Faso: 6543.0
27,Burma,MMR,11502,12897,24399.0,Burma: 24399.0
28,Burundi,BDI,2106,1094,3200.0,Burundi: 3200.0
29,Cabo Verde,CPV,5317,2618,7935.0,Cabo Verde: 7935.0
